ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742126::Name,1075849056::Physical Data Type,1073742125::Definition,1075849148::Comments
"1075838981::145","employee first name",Column,"employee first name","varchar(20)","Employee’s name","Employee’s name"
"1075838981::146","employee address",Column,"employee address","varchar(20)","First line of the employee’s address","First line of the employee’s address"
"1075838981::147","employee phone",Column,"employee phone","integer","Employee’s home phone number","Employee’s home phone number"
"1075838981::148","store manager",Column,"store manager","varchar(20)","The employee who manages the video store","The employee who manages the video store"
"1075838981::149","store address",Column,"store address","varchar(20)","The first line of the street address of the store","The first line of the street address of the store"
"1075838981::150","store phone",Column,"store phone","integer","The store’s phone number","The store’s phone number"
"1075838981::151","store city",Column,"store city","varchar(20)","The city associated with the store’s address","The city associated with the store’s address"
"1075838981::152","store state",Column,"store state","varchar(20)","The state associated with the store’s address","The state associated with the store’s address"
"1075838981::153","store zip code",Column,"store zip code","integer","The zip code associated with the store’s address","The zip code associated with the store’s address"
"1075838981::154","employee address 2",Column,"employee address 2","varchar(20)","Second line street address of the employee","Second line street address of the employee"
"1075838981::155","store address 2",Column,"store address 2","varchar(20)","The first line of the street address of the store","The first line of the street address of the store"
"1075838981::156","movie title",Column,"movie title","varchar(20)","",""
"1075838981::157","movie director",Column,"movie director","varchar(20)","Last name of the movie’s director","Last name of the movie’s director"
"1075838981::162","rental date",Column,"rental date","datetime","The date on which the movie was rented","The date on which the movie was rented"
"1075838981::163","due date",Column,"due date","datetime","The date on which the  movie is due back to the store","The date on which the  movie is due back to the store"
"1075838981::164","rental status",Column,"rental status","varchar(20)","Rental status of the movie copy","Rental status of the movie copy"
"1075838981::165","overdue charge",Column,"overdue charge","integer","The amount owed for an overdue movie rental","The amount owed for an overdue movie rental"
"1075838981::166","rental rate",Column,"rental rate","integer","Amount charged for the rental of a movie","Amount charged for the rental of a movie"
"1075838981::167","rental record date",Column,"rental record date","datetime","The date on which the rental transaction  is recorded","The date on which the rental transaction  is recorded"
"1075838981::169","general condition",Column,"general condition","varchar(20)","code identifying the general condition of the copy of the movie","code identifying the general condition of the copy of the movie"
"1075838981::170","movie format",Column,"movie format","varchar(20)","Defines the format of the movie copy (i.e VHS\, DVD)","Defines the format of the movie copy (i.e VHS\, DVD)"
"1075838981::171","movie copy number",Column,"movie copy number","integer","A unique number  identifying the movie copy","A unique number  identifying the movie copy"
"1075838981::173","soc sec number",Column,"soc sec number","integer","Social Security Number","Social Security Number"
"1075838981::174","hire date",Column,"hire date","datetime","Employee’s date of hire at the video store","Employee’s date of hire at the video store"
"1075838981::175","salary",Column,"salary","integer","Annual salary paid to the employee","Annual salary paid to the employee"
"1075838981::176","email",Column,"email","varchar(20)","email","email"
"1075838981::177","employee number",Column,"employee number","varchar(20)","A unique number that identifies the store in which the employee works","A unique number that identifies the store in which the employee works"
"1075838981::179","description",Column,"description","varchar(20)","A brief description of the movie’s plot or story line","A brief description of the movie’s plot or story line"
"1075838981::180","star 1 name",Column,"star 1 name","varchar(20)","Last name of the leading star of the movie","Last name of the leading star of the movie"
"1075838981::181","rating",Column,"rating","varchar","Rating associated with the movie","Rating associated with the movie"
"1075838981::182","star 2 name",Column,"star 2 name","varchar(20)","Last name of the second leading star of the movie","Last name of the second leading star of the movie"
"1075838981::183","movie number",Column,"movie number","integer","A unique number that identifies a movie","A unique number that identifies a movie"
"1075838981::185","genre",Column,"genre","varchar(2)","The genre associated with the movie","The genre associated with the movie"
